precio,marca,producto,Ean,Url,Categ
"$93,00",Granja Iris,Salchichas light Granja Iris sin piel 5 u.,7798164602996,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Lácteos y productos frescos/Salchichas/Quesos y fiambres/Salchichas/¡¡CYBER MONDAY!!/Lácteos y productos frescos/40% Off en Supermercado/Salchichas/¡¡GIGANTE!!/Lácteos y productos frescos/Salchichas
"$105,00",Finlandia,Queso fundido light Finlandia gruyere 200 g.,7790742166104,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Lácteos y productos frescos/Quesos untables y ricotta/Quesos y fiambres/Quesos untables y ricotta/¡¡CYBER MONDAY!!/Lácteos y productos frescos/Quesos untables y ricotta/40% Off en Supermercado
"$105,00",Finlandia,Queso fundido light Finlandia balance 200 g.,7790742165800,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Lácteos y productos frescos/Quesos untables y ricotta/Quesos y fiambres/Quesos untables y ricotta/¡¡CYBER MONDAY!!/Lácteos y productos frescos/Quesos untables y ricotta/40% Off en Supermercado
"$105,00",Finlandia,Queso fundido Finlandia clásico 200 g.,7790742161703,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Lácteos y productos frescos/Quesos untables y ricotta/Quesos y fiambres/Quesos untables y ricotta/¡¡CYBER MONDAY!!/Lácteos y productos frescos/Quesos untables y ricotta/40% Off en Supermercado
"$129,00",Milkaut,Queso rallado Milkaut 120 g.,7794820015247,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Quesos y fiambres/Quesos rallados y en hebras/¡¡CYBER MONDAY!!/30% Off en Supermercado/Lácteos y productos frescos
"$105,00",Finlandia,Queso fundido light Finlandia jamón y parmesano 200 g.,7790742176707,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Lácteos y productos frescos/Quesos untables y ricotta/Quesos y fiambres/Quesos untables y ricotta/¡¡CYBER MONDAY!!/Lácteos y productos frescos/Quesos untables y ricotta/40% Off en Supermercado
"$129,00",Tregar,Queso rallado Tregar 120 g.,7793913000146,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Quesos y fiambres/Quesos rallados y en hebras/¡¡CYBER MONDAY!!/30% Off en Supermercado/Lácteos y productos frescos
"$220,00",Fargo,Pan de mesa Fargo salvado doble 900 g.,7793890002386,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6829&p=2,"Panadería/Panificados/Panes lacteados y de mesa/Productos IVA 0%/Panadería/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Almacén/Pan de mesa, panchos y hamburguesas"
"$128,00",Fargo,Pan de mesa Fargo blanco rodajas finas 560 g.,7793890000917,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6829&p=2,"Panadería/Panificados/Panes lacteados y de mesa/Productos IVA 0%/Panadería/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Almacén/Pan de mesa, panchos y hamburguesas"
"$190,00",Bimbo,Pan de mesa Bimbo blanco 730 g.,7796989008450,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6829&p=2,"Panadería/Panificados/Panes lacteados y de mesa/Productos IVA 0%/Panadería/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Almacén/Pan de mesa, panchos y hamburguesas"
